rank|name|revenue|industry|employees|founded|growth|city|state
1|Skillz|54.2|Software|58.0|2012.0|50059|San Francisco|CA
2|EnviroSolar Power|37.4|Energy|85.0|2012.0|36065|Fort Worth|TX
3|Gametime|48.8|Consumer Products & Services|75.0|2013.0|34021|San Francisco|CA
4|Club Pilates Franchise|26.8|Consumer Products & Services|31.0|2007.0|21319|Costa Mesa|CA
5|Halo Top Creamery|49.1|Food & Beverage|10.0|2012.0|20944|Los Angeles|CA
6|Small Business Owners of America|19.7|Financial Services|15.0|2011.0|19352|Columbus|OH
7|AutomotiveMastermind|23.2|Software|102.0|2012.0|17675|New York City|NY
8|Liftoff|59.6|Advertising & Marketing||2012.0|16981|Palo Alto|CA
9|Greenspire|41.7|Energy|150.0|2012.0|14429|Los Angeles|CA
10|FormulaFolio Investments|17.2|Financial Services|43.0|2011.0|13927|Grand Rapids|MI
11|Single Serve Beverage Distribution|13.8|Food & Beverage|30.0|2012.0|13739|Newark|NJ
12|ShipHawk|13.1|Logistics & Transportation|23.0|2012.0|13666|Goleta|CA
13|Adva-Net|24.4|Health|26.0|2012.0|13462|Lakewood Ranch|FL
14|DashBid|25.8|Advertising & Marketing|28.0|2010.0|12979|New York City|NY
15|Forward Financing|28.3|Financial Services|50.0|2012.0|12893|Boston|MA
16|Solera Specialty Pharmacy|59.2|Health|22.0|2012.0|12503|Pompano Beach|FL
17|Strike Social|46.5|Advertising & Marketing|100.0|2013.0|12423|Chicago|IL
18|Reverb.com|15.7|Retail|116.0|2012.0|12327|Chicago|IL
19|Excel Impact|16.8|Insurance|9.0|2013.0|11369|Medina|OH
20|DGC International|32.9|Government Services|10.0|2010.0|10999|Vienna|VA
21|Shofur|12.1|Logistics & Transportation|14.0|2013.0|10448|Atlanta|GA
22|GrowthPlay|29.3|Business Products & Services|140.0|2013.0|9935|Chicago|IL
23|CalCom Solar|59.3|Energy|59.0|2012.0|9675|Visalia|CA
24|ION Solar|65.7|Energy|350.0|2013.0|9507|Provo|UT
25|The Penny Hoarder|20.5|Media|49.0|2010.0|9396|St. Petersburg|FL
26|Matterport|19.2|Media|174.0|2011.0|9282|Sunnyvale|CA
27|Legend Solar|29.8|Energy|102.0|2011.0|9222|Washington|UT
28|SaviLinx|11.4|Business Products & Services|338.0|2013.0|9204|Brunswick|ME
29|TechAnax|15.1|Government Services|12.0|2012.0|9119|Woodbridge|VA
30|Spar Information Systems|19.1|IT Services|350.0|2012.0|9114|Plano|TX
31|Big Block Realty|28.9|Real Estate|12.0|2012.0|8829|San Diego|CA
32|RelationEdge|10.1|Business Products & Services|69.0|2013.0|8208|Carlsbad|CA
33|Globalization Partners|40.5|Business Products & Services||2012.0|8187|Boston|MA
34|Carvana|365.1|Retail|1069.0|2013.0|7925|Tempe|AZ
35|Axe Wellness|46.3|Health|60.0|2009.0|7032|Franklin|TN
36|Interactive Government Holdings|15.3|Government Services|150.0|2006.0|7024|Springfield|VA
37|Bay State Search|11.2|Human Resources|250.0|2013.0|6885|Boston|MA
38|Enhanced Veterans Solutions|8.7|Government Services|68.0|2007.0|6866|Fairfax|VA
39|Dealer Inspire|10.5|Software|130.0|2012.0|6765|Naperville|IL
40|Na Ali'i Consulting and Sales|22.8|Government Services|98.0|2003.0|6638|Honolulu|HI
41|Dyla|9.7|Food & Beverage|15.0|2012.0|6634|West New York|NJ
42|BlackRock Construction|14.4|Construction|10.0|2012.0|6611|South Burlington|VT
43|MM.LaFleur|22.5|Consumer Products & Services|175.0|2013.0|6594|New York City|NY
44|Lever1|27.6|Business Products & Services|16.0|2012.0|6560|Kansas City|MO
45|TrackR|45.9|Consumer Products & Services|59.0|2009.0|6535|Santa Barbara|CA
46|ByteCubed|31.7|IT Services|120.0|2011.0|6469|Arlington|VA
47|Avant|437.9|Financial Services|468.0|2012.0|6333|Chicago|IL
48|iBenzer|7.9|Consumer Products & Services|20.0|2012.0|6291|College Point|NY
49|Boost Marketing Group|11.0|Advertising & Marketing|6.0|2012.0|6269|Ada|MI
50|FedBiz IT Solutions|32.6|Government Services|12.0|2011.0|6142|Leesburg|VA
51|BASX Solutions|25.1|Manufacturing|160.0|2012.0|6062|Redmond|OR
52|Discount Power Texas|98.1|Energy|37.0|2009.0|6045|Houston|TX
53|Lauren James Enterprises|13.2|Retail|100.0|2013.0|6010|Fayetteville|AR
54|Boomsourcing|7.2|Business Products & Services|385.0|2007.0|5889|Lehi|UT
55|ClearView|8.4|Software|37.0|2013.0|5779|Madison|WI
56|Samba TV|51.3|Advertising & Marketing|165.0|2008.0|5761|San Francisco|CA
57|Thought Logic Consulting|7.8|Business Products & Services|38.0|2013.0|5754|Atlanta|GA
58|Chef's Cut Real Jerky|26.9|Food & Beverage|30.0|2009.0|5669|New York City|NY
59|InfoScout|13.1|Business Products & Services|89.0|2011.0|5650|San Francisco|CA
60|Infusion Express|7.1|Health|34.0|2013.0|5550|Independence|MO
61|Givington's|6.9|Business Products & Services|19.0|2012.0|5531|Fayetteville|AR
62|Allego|5.7|Software|39.0|2013.0|5401|Needham|MA
63|The Air Travel Group|14.7|Travel & Hospitality|15.0|2013.0|5379|Orlando|FL
64|Associated Veterans|7.8|Government Services|49.0|2007.0|5334|Arlington|VA
65|PANTHERx Specialty Pharmacy|240.1|Health|80.0|2011.0|5319|Pittsburgh|PA
66|Gimbal|17.3|Advertising & Marketing|88.0|2012.0|5285|Santa Monica|CA
67|Momentum Solar|36.5|Energy|396.0|2009.0|5223|Metuchen|NJ
68|Symbia Logistics|27.0|Logistics & Transportation|250.0|2007.0|5165|Edwards|CO
69|Inspire Medical Systems|16.4|Health|81.0|2007.0|5149|Maple Grove|MN
70|RightDirection Technology Solutions|15.0|Government Services|88.0|2007.0|5142|Baltimore|MD
71|TFM Truckload|6.3|Logistics & Transportation|38.0|2011.0|5121|Pittsburgh|PA
72|S2 Capital|57.4|Real Estate||2012.0|5083|Addison|TX
73|Greentek Energy Systems|9.2|Energy|20.0|2011.0|5027|Lawrenceville|GA
74|Oakwood Search|6.1|Human Resources|16.0|2012.0|5009|Denver|CO
75|County Fabricators|7.0|Construction|22.0|2004.0|5002|Pleasantville|NY
76|ServiceTitan|13.6|Software|147.0|2013.0|4784|Glendale|CA
77|Agema Technology|5.1|IT Services|22.0|2012.0|4766|Irvine|CA
78|Linux Academy|5.2|Education|67.0|2012.0|4654|Keller|TX
79|E-file.com|5.1|Consumer Products & Services|2.0|2011.0|4642|Ponte Vedra|FL
80|The Elephant Pants|5.0|Retail|11.0|2012.0|4582|Brooklyn|NY
81|Brazi Bites|8.5|Food & Beverage|5.0|2010.0|4555|Portland|OR
82|Anovia Payments|32.2|Financial Services|50.0|2013.0|4526|Irving|TX
83|Griffin Funding|5.2|Financial Services|20.0|2013.0|4473|San Diego|CA
84|Sun Up Zero Down|6.5|Energy|20.0|2013.0|4407|Egg Harbor Township|NJ
85|Nine Line Apparel|14.0|Retail|147.0|2012.0|4402|Savannah|GA
86|A. Prentice Ray & Associates|6.8|IT Services|75.0|2005.0|4391|Washington|DC
87|Trinity Air Medical|5.3|Logistics & Transportation|35.0|2012.0|4316|Tempe|AZ
88|Lexicon Health|12.5|Media|11.0|2012.0|4255|Los Gatos|CA
89|American Business Brokers|8.9|Business Products & Services|4.0|2011.0|4092|Salt Lake City|UT
90|Draken International|18.8|Government Services|150.0|2011.0|4068|Lakeland|FL
91|Shapes Secrets|4.2|Retail|65.0|2013.0|4056|Doral|FL
92|MKS2|4.7|Government Services|58.0|2008.0|4018|Austin|TX
93|Hotel Rehabs|9.3|Construction|7.0|2010.0|4000|Chicago|IL
94|Level Office|11.0|Real Estate|34.0|2013.0|3982|Chicago|IL
95|Idea Farmer|10.1|Advertising & Marketing|11.0|2011.0|3958|Los Angeles|CA
96|POWER HOME SOLAR|14.7|Construction|109.0|2013.0|3943|Mooresville|NC
97|Harbinger|10.1|Advertising & Marketing|21.0|2013.0|3907|Washington|DC
98|Regal Service Company|6.4|Construction|30.0|1975.0|3895|Honolulu|HI
99|S'well|99.7|Retail|75.0|2010.0|3862|New York City|NY
100|FabFitFun|41.8|Consumer Products & Services|73.0|2010.0|3845|West Hollywood|CA
101|Ecology Mir Group|5.1|Government Services|12.0|2012.0|3844|Manassas|VA
102|Gainsight|23.1|Software|304.0|2009.0|3843|Redwood City|CA
103|Digital Enterprise|28.8|IT Services|370.0|2007.0|3815|Atlanta|GA
104|Lenora Systems|11.1|IT Services|70.0|2012.0|3811|Redmond|WA
106|Blue Air Training|4.7|Government Services|35.0|2011.0|3748|Las Vegas|NV
107|Kaizen Technology Partners|7.3|IT Services|4.0|2013.0|3728|San Francisco|CA
108|QASymphony|5.0|Software|82.0|2011.0|3687|Atlanta|GA
109|Inoventures|4.6|Government Services|43.0|2008.0|3599|McLean|VA
110|Hawke Media|5.6|Advertising & Marketing|75.0|2013.0|3525|Santa Monica|CA
111|Eligo Energy|43.8|Energy|37.0|2012.0|3524|Chicago|IL
112|Omaze|13.4|Consumer Products & Services|56.0|2012.0|3506|Los Angeles|CA
113|Choozle|9.0|Advertising & Marketing||2012.0|3499|Denver|CO
114|Pop Culture Media|4.9|Media|54.0|2013.0|3455|Brentwood|TN
115|Tactical Shit|4.0|Retail|14.0|2010.0|3446|Saint Peters|MO
116|MTS Nutrition|3.6|Health|3.0|2011.0|3426|Loveland|OH
117|Vantage Point Logistics|8.0|Logistics & Transportation|30.0|2011.0|3422|Columbus|OH
118|PAKmed|11.6|Health|5.0|2012.0|3414|Louisville|KY
119|Brand TM|3.7|Education|9.0|2011.0|3407|Westlake Village|CA
120|Bionic Solution|10.5|Business Products & Services|32.0|2013.0|3391|New York City|NY
121|Ruby Has Fulfillment|9.2|Logistics & Transportation|206.0|2011.0|3333|Bay Shore|NY
121|Ruby Has Fulfillment|9.2|Logistics & Transportation|206.0|2011.0|3333|Bay Shore|NY
122|PeachCap|5.7|Financial Services|30.0|2011.0|3327|Atlanta|GA
123|Double A|4.6|Advertising & Marketing|14.0|2012.0|3270|Austin|TX
124|Infusion Plus|6.4|Health|10.0|2013.0|3235|Flowood|MS
125|Sturdy|3.8|IT Services|18.0|2012.0|3202|Irvine|CA
126|Exact Match Media|6.3|Advertising & Marketing|5.0|2013.0|3166|Boca Raton|FL
127|Qubole|9.8|IT Services|170.0|2011.0|3165|Santa Clara|CA
128|X Corp Solutions|13.3|Government Services|151.0|2011.0|3126|Stafford|VA
129|Nelson Brothers|25.5|Real Estate|124.0|2007.0|3111|Aliso Viejo|CA
130|HomeStar Remodeling|3.6|Construction|29.0|2013.0|3074|Wilmington|DE
131|Fab Glass and Mirror|3.6|Manufacturing|25.0|2012.0|3013|Columbus|OH
132|Azzur Labs|3.3|Business Products & Services||2012.0|3005|Schnecksville|PA
133|Factor 75|5.6|Food & Beverage|18.0|2013.0|2938|Batavia|IL
134|PrescribeWellness|18.0|Health|89.0|2010.0|2904|Irvine|CA
135|iHeartDogs.com / HomeLife Media|16.3|Retail|55.0|2013.0|2898|Anaheim|CA
136|JC's|5.3|Food & Beverage|6.0|2013.0|2834|Sherman Oaks|CA
137|The Bizzell Group|8.5|Government Services|42.0|2010.0|2829|Lanham|MD
138|Moore Advanced|4.0|Human Resources|1217.0|2013.0|2807|Memphis|TN
139|Sparks Energy|70.3|Energy|20.0|2013.0|2732|Danville|AL
140|Agilisium Consulting|5.5|IT Services|90.0|2013.0|2723|Stevenson Ranch|CA
141|Solomon and Associates|3.9|Advertising & Marketing|105.0|2012.0|2707|Deerfield Beach|FL
142|VALiNTRY|5.0|IT Services|51.0|2013.0|2700|Winter Park|FL
143|TalEx|14.6|Human Resources|280.0|2012.0|2698|Washington|DC
144|MCB Lighting & Electrical|8.9|Energy|17.0|2000.0|2642|San Diego|CA
145|Disruptive Advertising|6.3|Advertising & Marketing|50.0|2012.0|2627|Lindon|UT
146|Fast Capital 360|6.3|Financial Services|79.0|2009.0|2623|Southampton|PA
147|MZ Capital Partners|5.2|Real Estate|6.0|2005.0|2618|Northbrook|IL
148|HealthCare.com|16.8|Insurance|35.0|2007.0|2599|Miami|FL
149|Newline Interactive|10.7|Business Products & Services|26.0|2012.0|2588|Plano|TX
150|Active Faith Sports|6.9|Retail|3.0|2012.0|2586|Houston|TX
151|Talent Rover|7.7|Software|120.0|2011.0|2584|Chicago|IL
152|Banish|2.8|Retail|20.0|2013.0|2573|Pasadena|CA
153|Reltio|13.5|Software|180.0|2011.0|2568|Redwood City|CA
154|National Brokers of America|9.7|Insurance|54.0|2013.0|2565|Reading|PA
155|Scientist.com|23.4|Health|40.0|2007.0|2564|Solana Beach|CA
156|FYZICAL Therapy & Balance Centers (Sarasota, FL)|7.8|Health|12.0||2557|Sarasota|FL
157|Oklahoma LED|4.7|Construction|9.0|2011.0|2556|Tulsa|OK
158|RWD Consulting|7.9|Government Services|77.0|2007.0|2556|Washington|DC
159|DayBlink Consulting|6.9|Business Products & Services||2013.0|2551|McLean|VA
160|Elite Staffing Solutions|3.0|Human Resources|2400.0|2013.0|2548|Wichita|KS
161|Blueprint Consulting Services|47.1|Business Products & Services|543.0|2005.0|2538|Bellevue|WA
162|Avadim Technologies|6.3|Health|111.0|2007.0|2537|Asheville|NC
163|TripleLift|42.9|Advertising & Marketing|110.0|2012.0|2522|New York City|NY
164|Wildwood Roofing & Construction|3.5|Construction|6.0|2013.0|2510|Ellisville|MO
165|Idea Buyer|3.4|Consumer Products & Services|35.0|2007.0|2508|Dublin|OH
166|The Steely Group|6.2|Human Resources|18.0|2013.0|2494|Oak Brook|IL
167|Zeel|12.6|Consumer Products & Services|58.0|2012.0|2489|New York City|NY
168|Fifth Wheel Freight|9.8|Logistics & Transportation|21.0|2012.0|2463|Grand Rapids|MI
169|DirectDefense|5.9|Security|24.0|2011.0|2463|Englewood|CO
170|Yamibuy|44.6|Retail|149.0|2013.0|2457|City of Industry|CA
171|Arcis Golf|186.7|Travel & Hospitality|3840.0|2013.0|2456|Dallas|TX
172|Fuse Chicken|3.5|Consumer Products & Services|5.0|2012.0|2445|Cuyahoga Falls|OH
173|Adwerx|14.1|Advertising & Marketing|54.0|2013.0|2443|Durham|NC
174|Empire Flippers|11.4|Business Products & Services|9.0|2012.0|2441|Wilmington|DE
175|Tejas Courier|4.3|Logistics & Transportation|60.0|2011.0|2429|Houston|TX
176|Alkami Technology|11.9|Software|192.0|2009.0|2415|Plano|TX
177|SD Bullion|129.6|Financial Services|16.0|2012.0|2410|Ottawa Lake|MI
178|JET Concrete Services|7.6|Construction|55.0|2012.0|2406|Metairie|LA
179|Bizible|3.4|Software|44.0|2011.0|2405|Seattle|WA
181|Stream Logistics|17.7|Logistics & Transportation|20.0|2012.0|2382|Scottsdale|AZ
182|Preparing People Barber Styling College|2.6|Education|18.0|2011.0|2376|Dallas|TX
183|TrackMaven|6.7|Advertising & Marketing|47.0|2012.0|2352|Washington|DC
184|Farwell|2.7|Business Products & Services|26.0|2012.0|2347|Madison|WI
185|Cloudnexa|18.1|IT Services|23.0|2012.0|2343|Philadelphia|PA
186|Clients on Demand|4.5|Advertising & Marketing|16.0|2011.0|2326|Glendale|CA
187|GridGain Systems|4.0|Software|70.0|2007.0|2318|Foster City|CA
188|Mortgage Financial Services|27.4|Financial Services|211.0|2007.0|2318|Flower Mound|TX
189|Renown Roofing and Construction|6.5|Construction|22.0|2012.0|2317|Lewisville|TX
190|The Stem|4.8|Business Products & Services|20.0|2013.0|2305|Larchmont|NY
191|Plow|3.3|IT Services|12.0|2012.0|2301|Brentwood|TN
192|Domo|79.9|Software|830.0|2010.0|2250|American Fork|UT
193|Zhou Nutrition|11.5|Health|8.0|2011.0|2241|Kansas City|MO
194|Ladder Now|12.4|Insurance|18.0|2012.0|2231|Louisville|KY
195|Hype Well Media|5.3|Advertising & Marketing|85.0|2013.0|2230|Santa Ana|CA
196|National Merchants Association|68.1|Financial Services|200.0|2004.0|2225|Temecula|CA
197|Walton Contractors|3.1|Construction|18.0|2012.0|2223|Chicago|IL
198|Verified First|5.7|Business Products & Services|70.0|2012.0|2221|Meridian|ID
199|Etegra|4.6|Engineering|41.0|2010.0|2196|Olivette|MO
200|E Contractors USA|16.1|Construction|22.0|2011.0|2182|Houston|TX
201|Stratus Video|33.5|Telecommunications|680.0|2011.0|2123|Clearwater|FL
202|HomeWorks Energy|21.4|Energy|185.0|2012.0|2117|Medford|MA
203|MOVE Bumpers|3.5|Manufacturing|10.0|2013.0|2114|Lewistown|MT
204|LingPerfect Translations|2.2|Business Products & Services|16.0|2013.0|2110|New York City|NY
205|Innovative Power Systems|34.6|Energy|23.0|1991.0|2104|Roseville|MN
206|NuevaCare|2.2|Health|70.0|2012.0|2103|San Mateo|CA
207|Augmenix|11.6|Health|56.0|2008.0|2097|Bedford|MA
208|Greenup Industries|14.9|Energy|70.0|2012.0|2079|Gonzales|LA
209|P.F. Candle Co.|3.5|Consumer Products & Services|25.0|2008.0|2075|Los Angeles|CA
210|The Garrett Companies|43.0|Real Estate|28.0|2012.0|2069|Greenwood|IN
211|Occam's Paradigm|4.2|Business Products & Services|10.0|2012.0|2063|New York City|NY
212|Beacon Protection Group|4.2|Security|47.0|2013.0|2031|Totowa|NJ
213|Robofirm|2.6|Advertising & Marketing|30.0|2013.0|2025|New York City|NY
214|Mobile Defenders|35.8|Telecommunications|70.0|2013.0|2019|Kentwood|MI
215|Blacc Spot Media|2.9|IT Services|11.0|2011.0|2019|Atlanta|GA
216|CARTO|6.0|Software|100.0|2008.0|2010|Brooklyn|NY
217|CRH Healthcare|31.5|Health|413.0|2012.0|1999|Atlanta|GA
218|Bombfell|21.0|Consumer Products & Services|110.0|2011.0|1990|New York City|NY
219|OppLoans|27.9|Financial Services|101.0|2009.0|1970|Chicago|IL
220|Paint Nite|65.0|Consumer Products & Services|110.0|2012.0|1970|Somerville|MA
221|Advanced Project Consulting|9.3|Government Services|106.0|2010.0|1968|Warner Robins|GA
222|iLoveKickboxing|10.5|Consumer Products & Services|35.0|2012.0|1941|Merrick|NY
223|Wantable|14.1|Retail|79.0|2012.0|1929|Milwaukee|WI
224|Dollar Fulfillment|3.4|Logistics & Transportation|15.0|2008.0|1914|Hayden Lake|ID
225|TapClicks|10.0|Advertising & Marketing|72.0|2009.0|1911|San Jose|CA
226|MacGregor Partners|4.6|Logistics & Transportation|31.0|2012.0|1906|Raleigh|NC
227|LIFEAID Beverage Company|12.8|Food & Beverage|38.0|2011.0|1903|Santa Cruz|CA
228|Courier Distribution Systems|27.7|Logistics & Transportation|520.0|2006.0|1897|Duluth|GA
229|Boba Guys|2.7|Food & Beverage|102.0|2011.0|1887|San Francisco|CA
230|MzeroA.com|2.1|Education|11.0|2008.0|1875|Ocala|FL
231|KnowBe4|10.1|Security|253.0|2010.0|1857|Clearwater|FL
232|Fan Fest|11.1|Media|16.0|2013.0|1855|Spring Hill|TN
233|Cogent Analytics|7.4|Business Products & Services|73.0|2013.0|1831|Greensboro|NC
234|GRA CPA|2.0|Financial Services|9.0|2010.0|1829|Orlando|FL
235|BrightFarms|6.2|Food & Beverage|12.0|2011.0|1812|New York City|NY
236|Facility Innovations Group|2.0|Business Products & Services|28.0|2013.0|1809|Austin|TX
237|FEDSYNC|4.8|Government Services|16.0|2007.0|1799|Alexandria|VA
238|Mabbly|2.4|Advertising & Marketing|25.0|2013.0|1798|Chicago|IL
239|n2grate|67.9|Government Services|34.0|2010.0|1796|Greenbelt|MD
240|My Home Group Real Estate|23.5|Real Estate|856.0|2005.0|1792|Tempe|AZ
241|Palmisano|97.2|Construction|80.0|2013.0|1779|New Orleans|LA
242|Advanced Packaging Solutions & Products|6.2|Business Products & Services|5.0|2012.0|1774|North Charleston|SC
243|Render Media|9.2|Media|36.0|2011.0|1768|Los Angeles|CA
244|Linear Air Taxi|4.2|Logistics & Transportation|13.0|2013.0|1768|Bedford|MA
245|United Carports|3.5|Manufacturing|27.0|2013.0|1749|Lake Elsinore|CA
246|SEO Werkz|2.5|Advertising & Marketing|11.0|2013.0|1731|Salt Lake City|UT
247|Casino Cash Trac|3.5|Software|16.0|2012.0|1730|Tulsa|OK
248|Vistar Media|20.3|Advertising & Marketing|49.0|2011.0|1730|New York City|NY
249|Azulle|6.4|Computer Hardware|6.0|2013.0|1720|North Miami Beach|FL
250|Verius Property Group|3.2|Real Estate|9.0|2010.0|1719|Harvey|LA
251|Crisis1|7.4|Government Services|29.0|2007.0|1710|Reston|VA
252|Chronos Business Consulting|2.6|IT Services|19.0|2013.0|1706|Las Vegas|NV
253|Images Luxury Nail Lounge|2.3|Consumer Products & Services|3.0|2010.0|1692|Newport Beach|CA
254|Steam Logistics|13.6|Logistics & Transportation||2013.0|1688|Chattanooga|TN
255|Health & Rehab Solutions|3.1|Health|29.0|2012.0|1677|Kalispell|MT
256|LiveTrends Design Group|12.8|Consumer Products & Services|95.0|2013.0|1662|Apopka|FL
257|Legalinc|3.3|Software|5.0|2013.0|1662|Plano|TX
258|SnapCap|7.7|Financial Services|21.0|2012.0|1661|Charleston|SC
259|Untappd|3.0|Food & Beverage|67.0|2010.0|1659|Wilmington|NC
260|US BUSINESS FUNDING|5.8|Financial Services|35.0|2008.0|1657|Santa Ana|CA
261|Torrent Consulting|5.8|Business Products & Services|58.0|2012.0|1657|Charlotte|NC
262|Adwizar|2.0|Advertising & Marketing|15.0|2012.0|1656|Rancho Cucamonga|CA
263|SelectHub|2.3|Software|47.0|2013.0|1653|Denver|CO
264|Bedrock Protection Agency|4.4|Security|173.0|2013.0|1647|Salt Lake City|UT
265|Trinity Technology Partners|6.2|IT Services|50.0|2008.0|1645|Greenbelt|MD
266|The Saatva Company|147.5|Retail|155.0|2010.0|1645|New York City|NY
267|Juvo Plus|38.9|Retail|89.0|2013.0|1640|Monrovia|CA
268|Whois API|2.5|IT Services|10.0|2009.0|1640|Walnut|CA
269|Bourbon & Boots|3.2|Retail|21.0|2012.0|1624|North Little Rock|AR
270|Foot Cardigan|3.5|Retail|22.0|2012.0|1617|Dallas|TX
271|DOGTOWN MEDIA|2.3|Software|34.0|2011.0|1609|Venice|CA
272|Atharva|5.0|Retail|10.0|2012.0|1601|Miami|FL
273|SWP Contracting & Paving|13.9|Government Services|25.0|2005.0|1601|Glendale|AZ
274|PPMG|5.6|Construction|30.0|2011.0|1594|Baton Rouge|LA
275|MasteryPrep|5.7|Education|100.0|2010.0|1585|Baton Rouge|LA
276|MeUndies|32.6|Retail|60.0|2011.0|1583|Culver City|CA
277|Phenom People|8.7|Software|230.0|2011.0|1580|Horsham|PA
278|Welltok|62.5|Health|420.0|2009.0|1576|Denver|CO
279|Impressions Holdings|2.1|Software|3.0|2013.0|1574|San Francisco|CA
280|The Janz|16.6|Government Services|15.0|1999.0|1574|Reynoldsburg|OH
281|WheelHouse IT|7.3|IT Services|53.0|2012.0|1571|Fort Lauderdale|FL
282|YouRent|3.8|Travel & Hospitality|18.0|2012.0|1566|Miami|FL
283|TRAVEL EXCLUSIVE|2.0|Travel & Hospitality|2.0|2012.0|1564|Brooklyn|NY
284|Drive Social Media|2.9|Advertising & Marketing|52.0|2012.0|1556|St Louis|MO
285|The Author Incubator|2.3|Media|7.0|2010.0|1548|McLean|VA
286|Fathom Realty|41.8|Real Estate|20.0|2009.0|1545|Cary|NC
287|Alliance Family of Companies|53.5|Health|296.0|2006.0|1541|Irving|TX
288|Fanrock|10.0|Advertising & Marketing|7.0|2013.0|1540|San Francisco|CA
289|Verde Solutions|5.9|Energy|32.0|2012.0|1537|Chicago|IL
290|Pragma Edge|3.8|IT Services|47.0|2013.0|1534|Deerfield|IL
291|VS carriers|33.8|Logistics & Transportation|194.0|2011.0|1522|Elk Grove Village|IL
292|Au Bon Broth|2.1|Food & Beverage|11.0|2012.0|1522|Carlsbad|CA
293|501 Auctions|6.1|Software|67.0|2011.0|1514|Brooklyn|NY
294|GonLED|4.5|Energy|4.0|2007.0|1509|Costa Mesa|CA
295|Work & Co|35.3|Business Products & Services|207.0|2013.0|1498|Brooklyn|NY
296|Worth Clark Realty|8.4|Real Estate|26.0|2009.0|1494|St Charles|MO
297|Leadpages|21.1|IT Services|175.0|2013.0|1477|Minneapolis|MN
298|R. Riveter|2.4|Manufacturing|22.0|2011.0|1475|Southern pines|NC
299|Xcaliber Solutions|5.8|Business Products & Services|12.0|2009.0|1474|Silverado|CA
300|West Hills Capital|6.3|Financial Services|4.0|2012.0|1460|Wichita|KS
301|Cylance|45.1|Security|803.0|2012.0|1455|Irvine|CA
302|Her Hair Company|5.6|Consumer Products & Services|4.0|2012.0|1440|Indianapolis|IN
303|Curaytor|6.6|Advertising & Marketing|30.0|2013.0|1427|Boston|MA
304|TENICA and Associates|11.4|Government Services|109.0|2008.0|1424|Alexandria|VA
305|zSpace|14.6|Education|116.0|2007.0|1416|Sunnyvale|CA
306|OnPrem Solution Partners|23.4|Business Products & Services|125.0|2013.0|1412|Manhattan Beach|CA
307|The Garage Group|2.5|Advertising & Marketing|10.0|2010.0|1411|Cincinnati|OH
308|Atlas MedStaff|47.6|Health||2012.0|1409|Omaha|NE
309|V3Gate|102.5|Government Services|22.0|2007.0|1402|Colorado Springs|CO
310|Rafael Marrero & Company|3.3|Government Services|49.0|2008.0|1402|Doral|FL
311|Core Software Technologies|2.1|IT Services|40.0|2011.0|1401|Plainsboro|NJ
312|Oolong|7.1|Business Products & Services|9.0|2013.0|1390|San Francisco|CA
313|Adore Me|83.9|Retail|121.0|2010.0|1389|New York City|NY
314|GameChangerSF|9.2|Advertising & Marketing|9.0|2012.0|1388|Palo Alto|CA
315|Perfecta|6.8|Government Services|27.0|2008.0|1388|Springfield|VA
316|D&B Elite|12.5|Construction|16.0|2011.0|1386|Sinking Spring|PA
317|PrinterLogic|14.8|Software||2002.0|1379|St. George|UT
318|Health Catalyst|66.7|Health||2008.0|1373|Salt Lake City|UT
319|Sehlke Consulting|6.9|Government Services|86.0|2011.0|1371|Arlington|VA
320|WiredScore|4.0|Real Estate|17.0|2013.0|1370|New York City|NY
321|LAM Services|2.9|Construction|7.0|2012.0|1363|Summerville|SC
322|SoHo Dragon|2.1|IT Services|20.0|2010.0|1362|New York City|NY
323|Everlasting Capital|2.1|Financial Services|18.0|2012.0|1361|Rochester|NH
324|HYPERICE|6.7|Consumer Products & Services|10.0|2010.0|1358|Irvine|CA
325|Triplemint|4.3|Real Estate|85.0|2011.0|1356|New York City|NY
326|Gulf Coast Crating|3.9|Logistics & Transportation|28.0|2013.0|1353|Houston|TX
327|MOD Pizza|131.3|Food & Beverage|4000.0|2008.0|1353|Bellevue|WA
328|Pike 13|3.5|Software|34.0|2012.0|1351|Seattle|WA
329|Sidebench|2.5|Business Products & Services|11.0|2012.0|1346|Los Angeles|CA
330|Downeast Cider House|8.1|Food & Beverage|36.0|2011.0|1344|Boston|MA
331|CleanFund|2.3|Financial Services|25.0|2009.0|1344|Sausalito|CA
332|Hireology|8.9|Business Products & Services||2010.0|1338|Chicago|IL
333|DA Defense Logistics HQ|21.7|Logistics & Transportation|361.0|2009.0|1331|El Paso|TX
334|Identified Talent Solutions|2.1|Human Resources|10.0|2012.0|1328|Irvine|CA
335|Local Web Leads|4.1|Advertising & Marketing|12.0|2013.0|1325|Austin|TX
336|FTG Equipment Solutions|5.1|Business Products & Services|5.0|2012.0|1322|Carneys Point|NJ
337|OrderMyGear|8.1|Business Products & Services|45.0|2008.0|1316|Dallas|TX
338|Berkley|16.2|Manufacturing|25.0|2012.0|1313|Carson|CA
339|Waterbottles.com|2.0|Business Products & Services|5.0|2011.0|1312|Glendora|CA
340|Stability Healthcare|14.7|Health|150.0|2009.0|1308|Los Angeles|CA
341|MuteSix|2.5|Advertising & Marketing||2013.0|1305|Santa Monica|CA
342|Social Fulcrum|2.4|Advertising & Marketing|17.0|2011.0|1289|Boston|MA
